Brand,Polish Name,Pinterest,Description,Type,Swatch Wheel,Swatch Color,Swatch Num,Coats,Tried,Gift,Notes
A England,Polovetsian Dances,,Dark Purple Holo,Holo,Purple 348,Purple,348,2,,,
Anchor & Heart,Go Big or Stay Home,,Plum Holo with Shimmery Flash,Shimmer,Purple 320,Purple,320,2,,,
Anchor & Heart,Recognize Happiness,,Purple Crelly with Holo Glitters,Crelly,Purple 326,Purple,326,2,,,
Anchor & Heart,Stronger Than You Think,,Silver Holo with Glitter,Holo,Grey 25,Grey,25,2,,,
Anchor & Heart,Sunken Treasure #455,,Lavender Crelly with Gold Flakies,Flakie,Purple 324,Purple,324,2,,,
Anchor & Heart,Winter Blues,,Blue Shimmer with Silver Shards,Shimmer,Blue 23,Blue,23,2,,,
Anonymous Lacquer,The Wonder City,,Blue-Teal Glitter Flakie,Flakie,Teal 51,Teal,51,2,,,
Anonymous Lacquer,VIP'N,,Green Teal Holo with Glitters,Holo,Teal 49,Teal,49,2,,,
Barielle,Falling Star,,Blue Creme with Copper Tiny Glitters,Shimmer,Blue 71,Blue,71,2,Yes,Y,
Baroness X,Amatista,,Pink Purple Shimmer,Shimmer,Glitter 113,Glitter,113,1,,,
Baroness X,Apatito,,Blue Shimmer,Shimmer,Glitter 143,Glitter,143,1,,,
Baroness X,Bifrost,,Light Blue Holo,Holo,Blue 248,Blue,248,2,,,
Baroness X,Bodhi Tree,,Purple with Blue Shimmer and Flakies,Shimmer,Purple 195,Purple,195,3,,,
Baroness X,Citrino,,Gold Green Shimmer,Shimmer,Glitter 148,Glitter,148,1,,,
Baroness X,Diamante,,Silvery Purpley Teal Shimmer,Shimmer,Glitter 117,Glitter,117,1,,,
Baroness X,Dioscouri,,Blue to Purple Multichrome Shimmer,Shimmer,Glitter 67,Glitter,67,1,,,
Baroness X,Doomfire,,Violet Jelly with Mutlichrome Shimmer,Shimmer,Glitter 79,Glitter,79,1,,,
Baroness X,Doomjelly,,Dark Purple Jelly,Jelly,Purple 197,Purple,197,3,,,
Baroness X,Esmeralda,,Green Teal Shimmer,Shimmer,Glitter 131,Glitter,131,1,,,
Baroness X,Fox Fires,,White Iridescent Glitter,Glitter,Glitter 150,Glitter,150,1,,,
Baroness X,Head Over Heels,,Pinky Red Shimmer,Shimmer,Pink 35,Pink,35,2,,,
Baroness X,Minthe,,White with Green Flash,Shimmer,White 2,White,2,2,,,
Baroness X,Niseag,,Blue to Green Multichrome Shimmer,Shimmer,Teal 65,Teal,65,3,,,
Baroness X,Oracle I,,Purple to Green Multichrome Glitter,Glitter,Glitter 112,Glitter,112,1,,,
Baroness X,Penumbra Prototype OOAK,,Blue Holo  ,Holo,Blue 121,Blue,121,2,,,
Baroness X,Persephone,,Blue Holo,Holo,Blue 152,Blue,152,2,,,
Baroness X,Quixotica,,Green Jelly with Multichrome Flakes,Flakie,Green 55,Green,55,3,,,
Baroness X,Rainbow Serpent,,Green Shifty Shimmer,Shimmer,Green 79,Green,79,2,,,
Baroness X,Rubi ,,Pinky Red Shimmer,Shimmer,Glitter 149,Glitter,149,1,,,
Baroness X,Sakura Skies,,Sky Blue Holo with Pink Shimmer,Holo,Blue 190,Blue,190,2,,,
Baroness X,Sierra de Plata,,Pink Suede,Suede,Pink 96,Pink,96,2,,,
Baroness X,Sir Cockicorn,,Red to Green Multichrome Shimmer,Shimmer,Glitter 74,Glitter,74,1,,,
Baroness X,Sunset Blvd.,,Neon Glitters,Glitter,Glitter 107,Glitter,107,1,,,
Baroness X,The Road to Awe,,Blurple Shimmer,Shimmer,Purple 288,Purple,288,2,,,
Baroness X,Topacio,,Copper Shimmer,Shimmer,Glitter 133,Glitter,133,1,,,
Baroness X,Tragedy of a Faerie,,Charcoal Grey Holo,Holo,Grey 23,Grey,23,2,,,
Baroness X,Vulcan,,Blue Jelly with Multichrome Shimmer,Shimmer,Blue 129,Blue,129,3,,,
Baroness X,Vulcan Blood,,Dark Blue Jelly,Jelly,Blue 131,Blue,131,3,,,
Baroness X,Yea I Memba,,Blueberry Holo,Holo,Blue 174,Blue,174,2,,,
Baroness X,Zafiro,,Blurple Shimmer,Shimmer,Glitter 128,Glitter,128,1,,,
Bear Pawlish,A Living Heart,,Blurple Holo,Holo,Purple 56,Purple,56,2,Yes,Yes! (Deb),
Black Cat Lacquer,I Want You to Want Me,,Purple Holo  ,Holo,Purple 77,Purple,77,2,,,
BLN,Triforce,,Gold Jelly with Gold Microglitter,Jelly,Yellow 14,Yellow,14,3,,,
Blush Lacquers,Amethyst Amulet,,Blackened Purple to Green Multichrome Shimmer,Shimmer,Green 73,Green,73,2,,,
Blush Lacquers,Brooklyn,,Blue with Pink Shimmer,Shimmer,Blue 184,Blue,184,2,,,
Blush Lacquers,Fall-ing for You,,Red Holo,Holo,Red 78,Red,78,2,,,
Blush Lacquers,Twilight Maiden,,Purple to Green Multichrome Shimmer,Multichrome,Purple 330,Purple,330,2,,,
Bohemian Polish,Dark Arts & Crafts,,Dark Purple with Shimmers,Shimmer,Purple 3,Purple,3,3,,,
Bohemian Polish,Dum Spiero Spiero,,Super Dark Holo,Holo,Purple 5,Purple,5,2,,,
Bohemian Polish,Mermaid Parade,,Blue with Gold Shimmer,Shimmer,Blue 219,Blue,219,2,,,
Bohemian Polish,Merry Christmoose,,Berry Pink Holo,Holo,Pink 86,Pink,86,2,,,
Bohemian Polish,Nevermore,,Blackened Red Shimmer,Shimmer,Red 100,Red,100,2,,,
Bohemian Polish,Paved With Diamonds,,Gunmetal Holo,Holo,Black 21,Black,21,2,,,
Bohemian Polish,Pinball Wizard,,Purple Crelly with Glitter ,Crelly,Purple 243,Purple,243,2,,,
Bohemian Polish,Play Like a Raven,,Purple Jelly with Gold Shimmer,Shimmer,Purple 307,Purple,307,2,,,
Catrice,Berry Potter and Plumbledore,,Plum with Blue Shimmer Flash,Shimmer,Purple 143,Purple,143,2,,,
Catrice,Harlem's Holo Shake,,Lavender Holo with a Blue Flash,Holo,Purple 123,Purple,123,2,,Y,
Catrice,Holo My Hand,,Light Blue Holo with Pink/Purple Flash,Holo,Blue 30,Blue,30,2,,Y,
CDB Lacquer,Cosmic Escape,,Dark Purple Jelly with Microglitter,Crelly,Purple 198,Purple,198,2,,,
CDB Lacquer,Siren,,Blackened Teal Shimmer,Shimmer,Teal 36,Teal,36,2,,,
Chanel,Taboo,,Reddish Purple with Shimmers,Shimmer,Purple 159,Purple,159,3,Yes,,AHHHH JENNE IS AMAZING. Also GORGEOUS AS FUCK
Chaos and Crocodiles,Dragon Stories,,Dark Purple Jelly with Multichrome Flakes and Holo,Holo,Purple 10,Purple,10,2,,,
Chaos and Crocodiles,LH04,,Dark Purple Holo,Holo,Purple 19,Purple,19,2,,Y,DEB IS AWESOMESAUCEBALLS
Chaos and Crocodiles,LH06,,Lavender Holographic,Holo,Purple 188,Purple,188,2,,,
Chaos and Crocodiles,Reflections,,Blue Jelly with Holo Microglitter,Jelly,Blue 181,Blue,181,2,Yes,,
Chaos and Crocodiles,Shadows,,Purple Jelly with Holo Microglitter,Jelly,Purple 62,Purple,62,2,Yes,,
Chaos and Crocodiles,Soliloquy,,Purple Jelly with Glitter,Jelly,Purple 88,Purple,88,2,Yes,,
